All_names;names_lower;names_upper
Amherst;amherst;AMHERST
Hutchinson;hutchinson;HUTCHINSON
Astell;astell;ASTELL
Baynard;baynard;BAYNARD
Behn ;behn ;BEHN 
Bertereau;bertereau;BERTEREAU
Biscot;biscot;BISCOT
Bouriser;bouriser;BOURISER
Brahe;brahe;BRAHE
Bury;bury;BURY
Castra;castra;CASTRA
Cavendish;cavendish;CAVENDISH
Cellier;cellier;CELLIER
Osario;osario;OSARIO
Clifford;clifford;CLIFFORD
Cockburn;cockburn;COCKBURN
Conway;conway;CONWAY
Cornaro;cornaro;CORNARO
Cotteblanche;cotteblanche;COTTEBLANCHE
Cramer;cramer;CRAMER
Cunitz;cunitz;CUNITZ
Cruz;cruz;CRUZ
Marche;marche;MARCHE
Drake;drake;DRAKE
Dumée;dumée;DUMÉE
Dupré;dupré;DUPRÉ
Eimmart;eimmart;EIMMART
Medici;medici;MEDICI
Stuart;stuart;STUART
Erdmuthe;erdmuthe;ERDMUTHE
Fiennes;fiennes;FIENNES
Fouquet;fouquet;FOUQUET
Fuss;fuss;FUSS
Sevigine;sevigine;SEVIGINE
Graff;graff;GRAFF
Halkett;halkett;HALKETT
Havelius;havelius;HAVELIUS
Jones;jones;JONES
Keil;keil;KEIL
Kirch;kirch;KIRCH
Sabliere;sabliere;SABLIERE
Vigne;vigne;VIGNE
Loser;loser;LOSER
Merillac;merillac;MERILLAC
Masters;masters;MASTERS
Merian;merian;MERIAN
Meurdrac;meurdrac;MEURDRAC
Mildmay;mildmay;MILDMAY
Pathenay;pathenay;PATHENAY
Ruysch;ruysch;RUYSCH
Schurman;schurman;SCHURMAN
Serment;serment;SERMENT
Sharp;sharp;SHARP
Shaw;shaw;SHAW
Siegemund;siegemund;SIEGEMUND
Walker;walker;WALKER
Wooley;wooley;WOOLEY
Agnesi;agnesi;AGNESI
Anning;anning;ANNING
Ardinghelli;ardinghelli;ARDINGHELLI
Astell;astell;ASTELL
Baker;baker;BAKER
Banks;banks;BANKS
Barbapiccola;barbapiccola;BARBAPICCOLA
Bassi ;bassi ;BASSI 
Benett;benett;BENETT
Bentham;bentham;BENTHAM
Biheron;biheron;BIHERON
Blackburne;blackburne;BLACKBURNE
Blackwell;blackwell;BLACKWELL
Boivin;boivin;BOIVIN
Borromeo;borromeo;BORROMEO
Brand;brand;BRAND
Bruckner;bruckner;BRUCKNER
Bryan;bryan;BRYAN
Burges;burges;BURGES
Bury;bury;BURY
Bury;bury;BURY
Buttelni;buttelni;BUTTELNI
Graham;graham;GRAHAM
Carter ;carter ;CARTER 
Coade;coade;COADE
Colden;colden;COLDEN
Cramer;cramer;CRAMER
Marche;marche;MARCHE
Launay;launay;LAUNAY
Stael;stael;STAEL
Chatelet;chatelet;CHATELET
Coudray;coudray;COUDRAY
Edgeworth;edgeworth;EDGEWORTH
Eimmart;eimmart;EIMMART
Erxleben;erxleben;ERXLEBEN
Fiennes;fiennes;FIENNES
Finch;finch;FINCH
Frampton;frampton;FRAMPTON
Galvani;galvani;GALVANI
Germain;germain;GERMAIN
Greene;greene;GREENE
Griffiths;griffiths;GRIFFITHS
Gsell;gsell;GSELL
Picardet ;picardet ;PICARDET 
Hall;hall;HALL
Herschel;herschel;HERSCHEL
Hoare;hoare;HOARE
Ibbetson;ibbetson;IBBETSON
Jacson;jacson;JACSON
Kaltenbeiner;kaltenbeiner;KALTENBEINER
Kirch;kirch;KIRCH
Kirch;kirch;KIRCH
Kirch;kirch;KIRCH
Lachapelle;lachapelle;LACHAPELLE
Lalande;lalande;LALANDE
Lavoisier;lavoisier;LAVOISIER
Lepaute;lepaute;LEPAUTE
Libert;libert;LIBERT
Logan;logan;LOGAN
Macaulay;macaulay;MACAULAY
Manzolini;manzolini;MANZOLINI
Marcet;marcet;MARCET
Faini;faini;FAINI
Monson;monson;MONSON
Murray ;murray ;MURRAY 
Necker;necker;NECKER
Nihell;nihell;NIHELL
Petraccini;petraccini;PETRACCINI
Philpot;philpot;PHILPOT
Pierry;pierry;PIERRY
Pinckney;pinckney;PINCKNEY
Piozzi;piozzi;PIOZZI
Pope;pope;POPE
Reinhart;reinhart;REINHART
Von Rodde;von rodde;VON RODDE
Schrader;schrader;SCHRADER
Siebold;siebold;SIEBOLD
Siebold;siebold;SIEBOLD
Smith;smith;SMITH
Sommerville;sommerville;SOMMERVILLE
Stephens;stephens;STEPHENS
Stovin;stovin;STOVIN
Trimmer;trimmer;TRIMMER
Turner;turner;TURNER
Wakefield;wakefield;WAKEFIELD
Zhenyi;zhenyi;ZHENYI
Winthrop;winthrop;WINTHROP
Wright;wright;WRIGHT
Fayerweather;fayerweather;FAYERWEATHER
Henning;henning;HENNING
Henning;henning;HENNING
Heiland;heiland;HEILAND
Schotzer;schotzer;SCHOTZER
Morandi;morandi;MORANDI
Galeazzi;galeazzi;GALEAZZI
Galeazzi;galeazzi;GALEAZZI
Righton ;righton ;RIGHTON 
Hessin;hessin;HESSIN
Koopman;koopman;KOOPMAN
Trotter;trotter;TROTTER
