Name_Dictionnary;Name;Surename;Cleaned_name;Maiden_name;Date;Discipline;Country;Pages
Amherst Sarah (Archer) Countess.;Sarah;Amherst;Amherst;;1762-1838;Natural Historian, Botanist;UK;31
Anna Sophia of Hesse;;;;;Fl. 1685;Botanist;DE;41
Anne Electress of Denmark;;;;;17th Century ? ;Alchemist;DK;41
Apsley (Hutchinson) Lady Lucy;Lucy;Hutchinson;Hutchinson;;1620-1675;Physician;UK;47
Astell Mary;Mary ;Astell;Astell;;1668-1731;Natural Philosopher, Social Scientist;UK;56-57
Baynard Anne;Anne;Baynard;Baynard;;1672-1697;Natural Philosopher;UK;97
Behn Aphra (?);Aphra;Behn ;Behn ;;Ca. 1640-1689;;UK;105-8
Bertereau Martine de Baroness de Beausoleil;Martine;Bertereau;Bertereau;;fl. 1600-1630;Metallurgist, Alchemist;FR;119
Biscot Jeanne;Jeanne;Biscot;Biscot;;1601-1664;Physician;FR;129
Bouriser Louyse Bourgeoise;Louise;Bouriser;Bouriser;;1563-1636;Surgeon, Obstetrician, Gynecologist;FR;164
Brahe Sophia;Sophia ;Brahe;Brahe;;1556-1643;Astronomer, Chemist;DK;170
Bury Elizabeth (Lawrence);Elizabeth;Bury;Bury;;1644-1720;Physician;UK;212-13
Castra Anna de;Anne ;De Castra;Castra;;fl. 1629;Natural Philosopher;SP;236
Catherine Ursula Countess of Baden;Katharina Ursula ;;;;fl. 1600;Physician;DE;237
Cavendish, Margaret, Duchess of Newcastle;Margaret;Cavendish;Cavendish;;1623-1673;Natural Philosopher;UK;240-241
Cellier Elizabeth;Elizabeth;Cellier;Cellier;;fl. 1680;Midwife;UK;241-42
Chinchon Countess of (Lady Ana de Osorio);Ana;De Osario;Osario;;1599-1641;;Spainish, Peruvian;252
Christina Queen of Sweden;Christina;;;;1626-1689;;SW;255-56
Clifford Lady Anne;Anne;Clifford;Clifford;;1589-1675;Natural Philosopher;UK;273
Cockburn Catharine (Trotter);Catharine;Trotter Cockburn;Cockburn;Trotter;1679-1749;Social Scientist;UK;278
Conway Anne;Anne;Conway;Conway;;1631-1679;Philosopher, Savant;UK;286-87
Cornaro (Cornero) Elena (Helena) Lucretia;Elena Lucrezia;Cornaro;Cornaro;;d. 1685;Natural Philosopher, Mathematician;IT;294
Coste Blanche Marie de;Marie ;De Coste Blanche;Cotteblanche;;fl. 1566;Natural Philosopher;FR;295
Cramer Catherine Gertrude Du Tertre Schraders;Catherine ;Cramer;Cramer;;1665-1746?;Midwife;NL;299-300
Cunitz Maria;Maria;Cramer;Cunitz;;1610-1664;Astronomer;DE;309-10
Dashkova Princess Ekaterina Romanovna;;;;;1743-1810;;RU;326-27
De La Cruz Juana Inés;Juana Inés;De la Cruz;Cruz;;1651-1695;Natural Philosopher;Spainish, Mexican;339
De La Marche Marguerite Du Tertre;Marguerite ;La Marche;Marche;;1638-1706;Midwife;FR;341
Drake Judith;Judith;Drake;Drake;;fl. 1696;Medical Practiotionner;UK;375
Dumée Jeanne;Jeanne;Dumée;Dumée;;fl. 1680-1685;Astronomer;FR;382
Dupré Marie;Marie;Dupré;Dupré;;17th century;Natural Philosopher ;FR;388
Eimmart Marie Claire;Marie Clara;Eimmart;Eimmart;;1676-1707;Astronomer;DE;409
Eleanora Duchess of Mantua;Eleanora;de Medici;Medici;;fl. 17th Century;Midwife;IT;414
Eleanora Duchess of Troppau and Jagerndorf;;;;;fl. 17th Century;Physican, Nutritionist;DE;414
Elizabeth of Bohemia;Elizabeth ;Stuart;Stuart;;1618-1680;Natural Philosopher;Bohemian;416-17
Erdmuthe Sophie;Sophie ;Erdmuthe;Erdmuthe;;1644-1675;Healer, Scholar;DE;425
Fiennes Celia;Celia;Fiennes;Fiennes;;1662-1741;Naturalist, Horticulturist;UK;445
Fouquet Marie de Maupeou, Vicomtesse De Vaux;Marie ;Fouquet;Fouquet;;1590-1681;Healer;FR;461
Fuss Margarita;Margarita;Fuss;Fuss;;1555-1626;Midwife ;DE;479
Grignan Françoise Marguerite de Sevigne, Comtesse de;Françoise Marguerite ;De Sévigine;Sevigine;;1646-1705;Natural Philosopher;FR;532
Gsell Maria Dorothea Henrica (Graf);Dorothea Maria;Graff;Graff;;1678-1745;Natural Scientist;German, Russian;535
Halket Lady Anne (Murray);Anne;Halkett;Halkett;;1622-1699;Physician;UK;544-45
Hevelius Elisabetha Koopman;Elisabeth ;Koopman-Havelius;Havelius;Koopman;1647-1693;Astronomer;Polish;593
Jones Katharine, Viscountess Ranelagh;Katherine;Jones;Jones;;1613-1691;;UK;665
Keil Elizabeth Marbareta;Elizabeth;Keil;Keil;;d. 1699;Midwife;DE;681
Kirch Maria Margaretha Winkelmann;Maria Margaretha;Kirch;Kirch;;1670-1720;Astronomer;DE;700-701
La Sablière Marguerite Hessein, Madame de;Marguerite;Hessin de la Sablière;Sabliere;Hessin;1640?-1693;Natural Philosopher;FR;747
La Vigne Anne de;Anne;de La Vigne;Vigne;;1684-?;Natural Philosopher;FR;752
Löser Margaret Sibylla Von;Margaret Sibylla ;Von Löser;Loser;;ca. 1665;Chemist;DE;805
Marillac Louise de;Louise ;De Merillac;Merillac;;1591-1671;Nurse, Pharmacist;FR;843
Masters Sybilla (Righton);Sybilla;Righton Masters;Masters;Righton ;d. 1720;Inventor;USA;853
Merian Maria Sibylla;Maria Sybilla;Merian;Merian;;1647-1717;Naturalist;DE;884-85
Meurdrac Marie;Marie;Meurdrac;Meurdrac;;fl. 1666;Chemist;FR;889
Mildmay Grace Sherrington;Grace;Mildmay;Mildmay;;1552-1620;Physician;UK;894
Parthenay Catherine de (Dame de Rohan);Catherine ;De Pathenay;Pathenay;;1554-1631;Philosopher, Mathematician;FR;985
Ruysch Rachel;Rachel;Ruysch;Ruysch;;1664-1740;Anatomical Preparator, Flower Painter;NL;1139
Schurman Anna Marie van;Anna Maria;Van Schurman;Schurman;;1607-1678;Artist, Scholar;Dutch, German;1165-66
Serment Louise-Anastasia;Louise Anastasia ;Serment;Serment;;1642-1692;Natural Philosopher;FR;1177
Sharp Jane;Jane ;Sharp;Sharp;;fl. 1671;Midwife;UK;1181
Shaw Hester;Hester;Shaw;Shaw;;1586?-1660;Midwife;UK;1183
Siegemund Justine Dittrich;Justine;Siegemund;Siegemund;;1630-1705;Midwife;Silesian;1193-94
Sophia Charlotte, Queen of Prussia;;;;;1668-1705;Philosopher;Hanoverian;1216
Sophia Electress of Hanover;;;;;1630-1714;Philosopher;Hanoverian;1216
Walker Elizabeth;Elizabeth;Walker;Walker;;1623-1690;Pharmacist;UK;1339
Woolley Ann;Ann;Wooley;Wooley;;1623-?;Physician, Nutritionist;UK;1398
Agnesi Maria Gaetana;Maria Gaetana;Agnesi;Agnesi;;1718-1799;Mathematician;IT;14-16
Anning Mary;Mary;Anning;Anning;;1799-1847;Paleontologist;UK;41-42
Arconville Geneviève Charlotte D';Geneviève;Thiroux d'Arconville;;;1720-1805;Anatomist;FR;49
Ardinghelli Maria Angela;Maria Angela ;Ardinghelli;Ardinghelli;;fl. 1756;Physicist, Mathnmaticial;Italian;49-50
Astell Mary;Mary;Astell;Astell;;1668-1731;Natural Philosopher, Writer;UK;56-57
Baker Anne Elizabeth;Anne Elizabeth;Baker;Baker;;1786-1861;Plant Collector, Illustrator;UK;70
Banks Sarah Sophia;Sarah Sophia;Banks;Banks;;1744-1818;Naturalists Assistant;UK;76-77
Barbapiccola Giuseppa Eleonora;Giuseppa Eleonora;Barbapiccola;Barbapiccola;;fl. 1731;Natural Philosopher, Translator;IT;77
Bassi Laura Maria Caterina;Laura Maria Caterina;Bassi ;Bassi ;;1711-1778;Anatomist, Natural Philosopher;IT;88-89
Benett Etheldred;Etheldred;Benett;Benett;;1776 - 1845;Geologist;UK;114
Bentham Lady Mary Sophia (Fordyce);Mary Sophia ;Bentham;Bentham;;1765-1858;Botanist;UK;117
Bentinck Margaret Cavendish (Harley) Duchess of Portland;Margaret;Bentink ou Cavendish?;;;1715-1785;Natural Historian, Natural science;UK;117-18
