Node ID;Node Name;Cluster ID;Cluster Name
16524;Maria Gaetana Agnesi;100001;Maria Gaetana Agnesi
16847;Maria Cajetana Agnesi;100001;
15712;LAURA BASSI comm . Bonon;100002;Maria Catharina Bassi
16844;Maria Catharina Bassi Journal;100002;
44486;Athanasius Kirchetus;100003;Athanasius Kircherus
44487;Athanasius Kirchẽtus;100003;
44490;Athanasio Kirchcro;100003;
44492;Athanasiuna Kircherum;100003;
44493;ATHANASIVS KIRCHERVS;100003;
44501;Athauvasium Kircherum;100003;
44510;Athanas . Kircherus;100003;
46699;Atbanasius Kircheru;100003;
51378;Kircheti;100003;
51382;Kirchcrus;100003;
51384;Kircheium;100003;
51386;Kircherusa;100003;
51387;Kircherust;100003;
51388;Kircherùus;100003;
58841;Father Kircher;100003;
59300;Extaticus Kircherus;100003;
59;Kircherus;100003;
599;P . Kircherus;100003;
820;Athanasius Kircherus;100003;
2856;Kircherio;100003;
3017;Athanasii Kircheri;100003;
4837;Kircheriani;100003;
6462;P . Athanasius Kircherus;100003;
11099;P . Athanasii Kircheri;100003;
13029;Iesuita Kircherus;100003;
13441;Athanas Kircher;100003;
15060;P . Kircherns;100003;
17187;Patri Kirchero;100003;
26694;V . Kircher;100003;
27275;Vid . Kircher;100003;
27922;Porro Kircherus;100003;
43903;AFF . Kircher;100003;
51393;Kirchrus;100003;
51392;KIRCHIVS;100003;
8029;Kirchèrus;100003;
10920;Kirchẽrus;100003;
54524;Edmundo Halley;100004;Edmund Halley
54525;Edmundus Halley Anglus;100004;
54526;Edmundo Hallæo;100004;
6965;Edmundus Hallejus;100004;
6969;Edmundus Halleius;100004;
39826;Cl : Halleyo;100004;
6945;HALLEIJUM;100004;
351;Keil;100005;John Keil
1673;Keilius;100005;
2363;Keilio;100005;
4923;Keillio;100005;
8680;Celeb Keillius;100005;
10235;Keilly;100005;
10239;Keilllus;100005;
10245;KEILLIVS;100005;
36949;C . Keilium;100005;
41927;Anglus Keillius;100005;
43902;AFF . Keill;100005;
51482;Keilius I;100005;
51483;Keiliu Muys;100005;
51485;Keilliusn;100005;
51486;KEILLIVM;100005;
57082;Dn . KEILIVS;100005;
33775;Rober ∣ tus Smith Scotus;100006;Robert Smith
33821;Robertus Smith Scotus;100006;
33902;Ro0 SMITH;100006;
49989;Henningus Schennemannus;100008;Henning Arnisaeus
49990;Henningum Schneumannum;100008;
2364;LAVOISIER;100009;Antoine Lavoisier
3189;LAVOISIERIO;100009;
10147;Lavoisieriani;100009;
11067;G . C . Eimmarti;100011;Eimmart
13864;B . Eimmarti;100011;
6762;Eimmarti;100011;
51381;Kirchius Junior;100012;Christfried Kirch
51389;Kirchio Juniore;100012;
51391;Kirchio Lipsiac;100012;
35224;Christsrido Kirchio;100012;
35313;Christfrido Kirchio;100012;
8013;Kirchmajer;100013;Kirchmayer
8027;Kirchmayer;100013;
38780;D . Ruysch;100014;Ruysch
7409;Ruysch;100014;
9132;Ruyschiana;100014;
51345;JOANN - GERLACHIUS;100015;Joann Gerlachius
51346;JOANN - GERLACHIUS Varnbiileri;100015;
